Episode 0: Loss 3.96, Reward 38, Avgloss 3.96, Avgreward 38.00, Epsilon 0.50, TotalStep 49
Episode 1: Loss 4.18, Reward 39, Avgloss 4.07, Avgreward 38.50, Epsilon 0.50, TotalStep 99
Episode 2: Loss 2.52, Reward 20, Avgloss 3.55, Avgreward 32.33, Epsilon 0.50, TotalStep 130
Episode 3: Loss 3.58, Reward 38, Avgloss 3.56, Avgreward 33.75, Epsilon 0.50, TotalStep 179
Episode 4: Loss 3.75, Reward 45, Avgloss 3.60, Avgreward 36.00, Epsilon 0.50, TotalStep 235
Episode 5: Loss 5.08, Reward 43, Avgloss 3.84, Avgreward 37.17, Epsilon 0.50, TotalStep 289
Episode 6: Loss 2.64, Reward 37, Avgloss 3.67, Avgreward 37.14, Epsilon 0.50, TotalStep 337
Episode 7: Loss 3.64, Reward 40, Avgloss 3.67, Avgreward 37.50, Epsilon 0.50, TotalStep 388
Episode 8: Loss 3.60, Reward 40, Avgloss 3.66, Avgreward 37.78, Epsilon 0.50, TotalStep 439
Episode 9: Loss 2.23, Reward 24, Avgloss 3.52, Avgreward 36.40, Epsilon 0.50, TotalStep 474
Episode 10: Loss 4.27, Reward 40, Avgloss 3.59, Avgreward 36.73, Epsilon 0.49, TotalStep 525
Episode 11: Loss 5.40, Reward 43, Avgloss 3.74, Avgreward 37.25, Epsilon 0.49, TotalStep 579
Episode 12: Loss 4.93, Reward 38, Avgloss 3.83, Avgreward 37.31, Epsilon 0.49, TotalStep 628
Episode 13: Loss 3.60, Reward 38, Avgloss 3.81, Avgreward 37.36, Epsilon 0.49, TotalStep 677
Episode 14: Loss 3.51, Reward 39, Avgloss 3.79, Avgreward 37.47, Epsilon 0.49, TotalStep 727
Episode 15: Loss 3.66, Reward 39, Avgloss 3.78, Avgreward 37.56, Epsilon 0.49, TotalStep 777
Episode 16: Loss 3.26, Reward 42, Avgloss 3.75, Avgreward 37.82, Epsilon 0.49, TotalStep 830
Episode 17: Loss 3.00, Reward 38, Avgloss 3.71, Avgreward 37.83, Epsilon 0.49, TotalStep 879
Episode 18: Loss 3.60, Reward 43, Avgloss 3.71, Avgreward 38.11, Epsilon 0.49, TotalStep 933
Episode 19: Loss 3.48, Reward 37, Avgloss 3.69, Avgreward 38.05, Epsilon 0.49, TotalStep 981
Episode 20: Loss 6.55, Reward 38, Avgloss 3.83, Avgreward 38.05, Epsilon 0.49, TotalStep 1030
Episode 21: Loss 2.96, Reward 22, Avgloss 3.79, Avgreward 37.32, Epsilon 0.49, TotalStep 1063
Episode 22: Loss 4.29, Reward 43, Avgloss 3.81, Avgreward 37.57, Epsilon 0.49, TotalStep 1117
Episode 23: Loss 2.56, Reward 26, Avgloss 3.76, Avgreward 37.08, Epsilon 0.49, TotalStep 1154
Episode 24: Loss 4.08, Reward 41, Avgloss 3.77, Avgreward 37.24, Epsilon 0.49, TotalStep 1206
Episode 25: Loss 2.99, Reward 41, Avgloss 3.74, Avgreward 37.38, Epsilon 0.49, TotalStep 1258
Episode 26: Loss 3.94, Reward 43, Avgloss 3.75, Avgreward 37.59, Epsilon 0.49, TotalStep 1312
Episode 27: Loss 2.45, Reward 25, Avgloss 3.70, Avgreward 37.14, Epsilon 0.49, TotalStep 1348
Episode 28: Loss 4.09, Reward 39, Avgloss 3.72, Avgreward 37.21, Epsilon 0.49, TotalStep 1398
Episode 29: Loss 4.89, Reward 44, Avgloss 3.76, Avgreward 37.43, Epsilon 0.49, TotalStep 1453
Episode 30: Loss 4.24, Reward 39, Avgloss 3.77, Avgreward 37.48, Epsilon 0.49, TotalStep 1503
Episode 31: Loss 4.60, Reward 40, Avgloss 3.80, Avgreward 37.56, Epsilon 0.49, TotalStep 1554
Episode 32: Loss 4.34, Reward 43, Avgloss 3.81, Avgreward 37.73, Epsilon 0.48, TotalStep 1608
Episode 33: Loss 3.56, Reward 23, Avgloss 3.81, Avgreward 37.29, Epsilon 0.48, TotalStep 1642
Episode 34: Loss 4.04, Reward 38, Avgloss 3.81, Avgreward 37.31, Epsilon 0.48, TotalStep 1691
Episode 35: Loss 4.04, Reward 23, Avgloss 3.82, Avgreward 36.92, Epsilon 0.48, TotalStep 1725
Episode 36: Loss 2.96, Reward 27, Avgloss 3.80, Avgreward 36.65, Epsilon 0.48, TotalStep 1763
Episode 37: Loss 4.27, Reward 40, Avgloss 3.81, Avgreward 36.74, Epsilon 0.48, TotalStep 1814
Episode 38: Loss 5.42, Reward 45, Avgloss 3.85, Avgreward 36.95, Epsilon 0.48, TotalStep 1870
Episode 39: Loss 3.58, Reward 28, Avgloss 3.84, Avgreward 36.73, Epsilon 0.48, TotalStep 1909
Episode 40: Loss 5.29, Reward 40, Avgloss 3.88, Avgreward 36.80, Epsilon 0.48, TotalStep 1960
Episode 41: Loss 4.57, Reward 29, Avgloss 3.89, Avgreward 36.62, Epsilon 0.48, TotalStep 2000
Episode 42: Loss 10.91, Reward 46, Avgloss 4.06, Avgreward 36.84, Epsilon 0.48, TotalStep 2057
Episode 43: Loss 5.99, Reward 38, Avgloss 4.10, Avgreward 36.86, Epsilon 0.48, TotalStep 2106
Episode 44: Loss 3.46, Reward 25, Avgloss 4.09, Avgreward 36.60, Epsilon 0.48, TotalStep 2142
Episode 45: Loss 8.23, Reward 40, Avgloss 4.18, Avgreward 36.67, Epsilon 0.48, TotalStep 2193
Episode 46: Loss 5.48, Reward 38, Avgloss 4.21, Avgreward 36.70, Epsilon 0.48, TotalStep 2242
Episode 47: Loss 3.91, Reward 24, Avgloss 4.20, Avgreward 36.44, Epsilon 0.48, TotalStep 2277
Episode 48: Loss 4.91, Reward 37, Avgloss 4.21, Avgreward 36.45, Epsilon 0.48, TotalStep 2325
Episode 49: Loss 6.04, Reward 37, Avgloss 4.25, Avgreward 36.46, Epsilon 0.48, TotalStep 2373
Episode 50: Loss 3.71, Reward 23, Avgloss 4.24, Avgreward 36.20, Epsilon 0.48, TotalStep 2407
Episode 51: Loss 4.71, Reward 37, Avgloss 4.25, Avgreward 36.21, Epsilon 0.48, TotalStep 2455
Episode 52: Loss 5.66, Reward 28, Avgloss 4.28, Avgreward 36.06, Epsilon 0.48, TotalStep 2494
Episode 53: Loss 5.07, Reward 41, Avgloss 4.29, Avgreward 36.15, Epsilon 0.48, TotalStep 2546
Episode 54: Loss 4.36, Reward 39, Avgloss 4.29, Avgreward 36.20, Epsilon 0.48, TotalStep 2596
Episode 55: Loss 5.33, Reward 37, Avgloss 4.31, Avgreward 36.21, Epsilon 0.47, TotalStep 2644
Episode 56: Loss 6.05, Reward 42, Avgloss 4.34, Avgreward 36.32, Epsilon 0.47, TotalStep 2697
Episode 57: Loss 5.68, Reward 37, Avgloss 4.36, Avgreward 36.33, Epsilon 0.47, TotalStep 2745
Episode 58: Loss 4.13, Reward 24, Avgloss 4.36, Avgreward 36.12, Epsilon 0.47, TotalStep 2780
Episode 59: Loss 3.42, Reward 26, Avgloss 4.34, Avgreward 35.95, Epsilon 0.47, TotalStep 2817
Episode 60: Loss 3.13, Reward 24, Avgloss 4.32, Avgreward 35.75, Epsilon 0.47, TotalStep 2852
Episode 61: Loss 5.33, Reward 29, Avgloss 4.34, Avgreward 35.65, Epsilon 0.47, TotalStep 2892
Episode 62: Loss 4.89, Reward 25, Avgloss 4.35, Avgreward 35.48, Epsilon 0.47, TotalStep 2928
Episode 63: Loss 4.00, Reward 38, Avgloss 4.34, Avgreward 35.52, Epsilon 0.47, TotalStep 2977
Episode 64: Loss 12.37, Reward 46, Avgloss 4.47, Avgreward 35.68, Epsilon 0.47, TotalStep 3034
Episode 65: Loss 8.29, Reward 37, Avgloss 4.52, Avgreward 35.70, Epsilon 0.47, TotalStep 3082
Episode 66: Loss 8.65, Reward 38, Avgloss 4.59, Avgreward 35.73, Epsilon 0.47, TotalStep 3131
Episode 67: Loss 5.08, Reward 22, Avgloss 4.59, Avgreward 35.53, Epsilon 0.47, TotalStep 3164
Episode 68: Loss 6.72, Reward 38, Avgloss 4.62, Avgreward 35.57, Epsilon 0.47, TotalStep 3213
Episode 69: Loss 4.84, Reward 24, Avgloss 4.63, Avgreward 35.40, Epsilon 0.47, TotalStep 3248
Episode 70: Loss 6.60, Reward 34, Avgloss 4.66, Avgreward 35.38, Epsilon 0.47, TotalStep 3293
Episode 71: Loss 0.62, Reward -10, Avgloss 4.60, Avgreward 34.75, Epsilon 0.47, TotalStep 3294
Episode 72: Loss 0.26, Reward -10, Avgloss 4.54, Avgreward 34.14, Epsilon 0.47, TotalStep 3295
Episode 73: Loss 0.15, Reward -10, Avgloss 4.48, Avgreward 33.54, Epsilon 0.47, TotalStep 3296
Episode 74: Loss 0.25, Reward -10, Avgloss 4.42, Avgreward 32.96, Epsilon 0.47, TotalStep 3297
Episode 75: Loss 0.01, Reward -10, Avgloss 4.37, Avgreward 32.39, Epsilon 0.47, TotalStep 3298
Episode 76: Loss 0.23, Reward -10, Avgloss 4.31, Avgreward 31.84, Epsilon 0.47, TotalStep 3299
Episode 77: Loss 0.59, Reward -10, Avgloss 4.26, Avgreward 31.31, Epsilon 0.47, TotalStep 3300
